6,825|0,362|32,467|-1300,151|0|1|0|-0,1|0|7|-4|1
7|0,225|31,677|-1301,223|0|1|0|-0,1|1|7|-2|1
7,175|0,073|31,732|-1302,396|0|1|0|-0,1|1|8|4|1
7,35|0,021|32,231|-1303,569|0|1|0|0,1|1|7|2|1
7,525|0,615|32,68|-1304,555|0|0,8|0|0,5|1|7|2|1
7,7|1,593|32,588|-1305,063|0|0,7|0|0,7|0|7|-4|1
7,875|2,562|31,547|-1305,356|0|0,7|0|0,7|0|11|-9|1
8,05|3,557|29,711|-1305,546|0|0,7|0|0,7|1|13|-11|1
8,225|4,649|28,373|-1305,964|0|0,9|0|0,4|1|8|-4|1
8,4|5,245|28,183|-1306,962|0|1|0|0,1|1|7|2|1
8,575|5,2|28,632|-1308,11|0|0,9|0|-0,4|1|7|3|1
8,75|4,256|29,124|-1308,781|0|-0,7|0|0,7|1|7|2|1
8,925|3,186|29,546|-1309,269|0|0,9|0|-0,5|1|7|3|1
9,1|2,235|29,99|-1309,97|0|0,9|0|-0,4|1|7|2|1
9,275|1,332|30,407|-1310,733|0|0,9|0|-0,4|1|7|3|1
9,45|0,68|30,868|-1311,7|0|1|0|-0,1|1|7|2|1
9,625|0,45|31,27|-1312,853|0|1|0|0,1|1|7|3|1
9,8|0,833|31,729|-1313,961|0|1|0|0,3|1|7|3|1
9,975|1,505|32,216|-1314,933|0|0,9|0|0,3|1|7|2|1
10,15|2,259|32,645|-1315,843|0|0,9|0|0,4|1|7|3|1
10,325|3,038|33,113|-1316,732|0|0,9|0|0,4|1|7|2|1
10,5|3,616|33,308|-1317,702|0|1|0|0,1|0|6|-2|1
10,675|3,891|32,577|-1318,679|0|1|0|0|1|8|-5|1
10,85|3,985|32,164|-1319,856|0|1|0|0|1|7|1|1
11,025|3,971|32,585|-1321,038|0|1|0|0|1|7|2|1
11,2|3,924|32,894|-1322,195|0|1|0|0|0|6|-1|1
11,375|3,854|32,326|-1323,218|0|1|0|-0,1|0|9|-6|1
11,55|3,743|30,886|-1324,225|0|1|0|-0,1|0|12|-11|1
11,725|3,605|28,717|-1325,229|0|1|0|-0,1|0|16|-15|1
